Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,TATAMOTORS,EQ,262.7,269.75,282.0,255.35,280.3,279.6,269.6,165655500,4466063381744999.5,797774,12678691,7.6499999999999995
2021-02-02,TATAMOTORS,EQ,279.6,293.6,328.85,290.4,326.95,322.0,308.75,251965965,7779481872464999.0,1201928,30359979,12.05
2021-02-03,TATAMOTORS,EQ,322.0,339.2,341.9,326.2,331.2,331.0,334.33,224190114,7495451628710001.0,1057040,22289570,9.94
2021-02-04,TATAMOTORS,EQ,331.0,329.0,334.5,322.45,326.1,326.15,328.68,121033002,3978159711325000.0,693061,10773872,8.9
2021-02-05,TATAMOTORS,EQ,326.15,327.6,330.0,312.6,318.45,315.9,319.24,103512235,3304550022925000.0,620367,13161252,12.710000000000003
2021-02-08,TATAMOTORS,EQ,315.9,318.75,339.25,318.0,336.55,335.95,328.1,102123614,3350695568995000.0,597813,13791043,13.5
2021-02-09,TATAMOTORS,EQ,335.95,337.0,338.5,322.2,325.85,325.05,328.65,105981081,3483032889575000.0,596440,11770233,11.11
2021-02-10,TATAMOTORS,EQ,325.05,326.0,332.65,319.5,328.55,328.9,325.62,93466949,3043483376205000.0,474065,5592345,5.98
2021-02-11,TATAMOTORS,EQ,328.9,326.45,331.35,323.4,324.9,325.0,326.77,55257166,1805656376625000.0,317814,6734537,12.19
2021-02-12,TATAMOTORS,EQ,325.0,326.4,330.5,321.25,324.55,325.4,326.36,64093642,2091745008600000.0,344490,4621930,7.21
2021-02-15,TATAMOTORS,EQ,325.4,329.9,335.8,324.0,331.9,333.35,329.83,78680452,2595079565545000.0,418089,8356395,10.62
2021-02-16,TATAMOTORS,EQ,333.35,335.45,337.9,327.5,329.0,329.2,331.95,65943843,2189030440055000.0,349911,8320793,12.620000000000001
2021-02-17,TATAMOTORS,EQ,329.2,326.9,334.25,325.45,329.7,330.15,329.78,52150941,1719846274005000.0,288923,5743645,11.01
2021-02-18,TATAMOTORS,EQ,330.15,331.5,331.75,321.1,323.0,323.85,327.39,49204247,1610895768200000.0,305338,10654511,21.65
2021-02-19,TATAMOTORS,EQ,323.85,321.95,321.95,301.4,312.45,311.85,313.32,80274683,2515157675790000.0,516227,11456545,14.27
2021-02-22,TATAMOTORS,EQ,311.85,312.45,313.9,302.15,302.6,304.5,308.0,57723298,1777857910609999.8,341152,5272946,9.13
2021-02-23,TATAMOTORS,EQ,304.5,308.5,328.9,308.5,324.6,324.0,319.8,133310157,4263243024510000.0,696488,12357798,9.27
2021-02-24,TATAMOTORS,EQ,324.0,325.0,330.0,316.5,321.2,321.65,324.47,50821757,1648997487385000.0,287089,10529353,20.72
2021-02-25,TATAMOTORS,EQ,321.65,325.35,334.7,323.25,333.6,333.15,328.91,64514912,2121956749134999.8,352535,13578645,21.05
2021-02-26,TATAMOTORS,EQ,333.15,323.0,332.95,318.85,321.9,322.95,324.69,91901339,2983921380950000.0,493729,15790964,17.18
2021-03-01,TATAMOTORS,EQ,322.95,330.0,331.85,322.7,327.7,328.3,327.28,61190868,2002666575384999.8,352381,6661638,10.89
2021-03-02,TATAMOTORS,EQ,328.3,331.1,347.2,326.45,345.25,345.75,339.18,127708761,4331648389144999.5,728843,20697600,16.21
2021-03-03,TATAMOTORS,EQ,345.75,348.65,357.0,346.5,347.1,348.5,351.7,92006451,3235853306050000.0,527778,19193283,20.86
2021-03-04,TATAMOTORS,EQ,348.5,339.0,345.4,337.3,340.0,339.2,341.5,59863169,2044350860645000.0,365276,11468971,19.16
2021-03-05,TATAMOTORS,EQ,339.2,333.0,337.85,319.7,326.45,325.15,329.04,86738909,2854048658350000.0,511915,18958771,21.86
2021-03-08,TATAMOTORS,EQ,325.15,331.75,331.75,318.8,321.35,321.25,324.4,81925952,2657675757330000.0,547672,12979022,15.840000000000002
2021-03-09,TATAMOTORS,EQ,321.25,325.0,328.35,309.6,315.15,315.2,318.35,74702208,2378146829310000.0,443980,11765184,15.75
2021-03-10,TATAMOTORS,EQ,315.2,319.5,324.45,316.7,321.75,321.45,321.13,58643853,1883219659295000.0,332869,8419018,14.360000000000001
2021-03-12,TATAMOTORS,EQ,321.45,325.05,326.5,314.15,317.45,317.55,320.29,48360842,1548947502345000.0,319107,9523477,19.69
